,ticker,list_date,market_cap,mkt_cap_low,mkt_cap_high,lower_offer_pr,upper_offer_pr,final_offer_price,over_sub_ratio,allot_odds,firstday_return
333,02359.HK,2018/12/13,78.07-87.08,78.07,78.07,64.1,71.5,68.0,0.9,1.0,0.0
334,08622.HK,2018/12/13,1.76-2.56,1.76,1.76,0.44,0.64,0.5,130.5,0.15,-0.06
335,01837.HK,2018/12/12,35.98-46.64,35.98,35.98,1.62,2.1,1.62,0.4,1.0,-0.12345999999999999
336,01860.HK,2018/12/12,59.83-78.24,59.83,59.83,3.9,5.1,4.0,0.8,1.0,-0.0025
337,02798.HK,2018/12/12,9.60-15.36,9.6,9.6,0.6,0.96,0.68,7.5,0.3,0.0
338,08621.HK,2018/12/12,3.12-4.00,3.12,3.12,0.39,0.5,0.39,36.1,0.38,0.41026
339,03992.HK,2018/12/11,5.00-5.50,5.0,5.0,1.0,1.1,1.0,58.4,0.3,-0.16
340,01119.HK,2018/12/06,76.18-99.04,76.18,76.18,6.0,7.8,6.6,11.6,0.35,-0.08636
341,02168.HK,2018/12/06,12.71-15.23,12.71,12.71,9.08,10.88,9.38,19.4,0.7,-0.01493
345,01761.HK,2018/11/27,114.82-148.59,114.82,114.82,6.8,8.8,6.8,0.2,1.0,0.01029
346,00780.HK,2018/11/26,200.35-259.94,200.35,200.35,9.75,12.65,9.8,1.7,1.0,0.26531
347,02258.HK,2018/11/19,9.90-12.88,9.9,9.9,1.2,1.56,1.22,0.7,1.0,0.09016
348,06890.HK,2018/11/19,6.00-7.80,6.0,6.0,1.0,1.3,1.02,23.0,0.601,0.04902
349,01835.HK,2018/11/13,1.92-2.68,1.92,1.92,5.0,7.0,5.0,4.6,1.0,0.042
350,03616.HK,2018/11/12,12.24-16.80,12.24,12.24,1.02,1.4,1.24,0.9,1.0,-0.08871000000000001
351,08259.HK,2018/11/07,2.40-2.88,2.4,2.4,0.5,0.6,0.5,21.5,0.4,0.4
354,01801.HK,2018/10/31,139.77-156.54,139.77,139.77,12.5,14.0,13.98,0.1,1.0,0.18597999999999998
355,01034.HK,2018/10/30,5.12-5.44,5.12,5.12,0.32,0.34,0.32,11.4,0.26,0.4375
356,08611.HK,2018/10/22,2.65-3.43,2.65,2.65,0.68,0.88,0.62,7.2,0.145,0.16129000000000002
357,01653.HK,2018/10/19,3.80-5.00,3.8,3.8,0.19,0.25,0.19,15.6,0.13,0.84211
358,01825.HK,2018/10/19,3.20-3.52,3.2,3.2,0.4,0.44,0.4,17.4,0.3,-0.0375
359,01741.HK,2018/10/16,5.00-5.40,5.0,5.0,0.625,0.675,0.625,4.0,0.4,0.008
360,08613.HK,2018/10/16,2.20-3.00,2.2,2.2,0.22,0.3,0.22,20.7,0.2,0.1
361,08516.HK,2018/10/15,1.92-2.64,1.92,1.92,0.4,0.55,0.4,13.0,0.225,0.875
362,08603.HK,2018/10/15,2.24-3.52,2.24,2.24,0.28,0.44,0.28,12.4,0.2,0.4642899999999999
363,01894.HK,2018/10/12,6.08-6.84,6.08,6.08,0.8,0.9,0.85,11.5,0.25,0.03529
364,08042.HK,2018/10/12,2.40-3.20,2.4,2.4,0.3,0.4,0.3,15.2,0.6,-0.28333
366,01939.HK,2018/10/11,7.50-8.55,7.5,7.5,1.5,1.71,1.5,5.7,0.3,0.04
370,01540.HK,2018/10/08,5.07-5.58,5.07,5.07,1.0,1.1,1.0,9.6,0.25,-0.16
372,01781.HK,2018/10/04,5.40-6.48,5.4,5.4,1.0,1.2,1.1,9.3,0.25,0.15455
374,08017.HK,2018/09/28,3.20-4.00,3.2,3.2,0.64,0.8,0.64,24.9,0.3,-0.27344
375,01723.HK,2018/09/27,4.00-5.20,4.0,4.0,1.0,1.3,1.0,5.5,0.451,1.12
377,01748.HK,2018/09/26,5.16-7.04,5.16,5.16,1.29,1.76,1.5,3.8,0.214,0.006670000000000001
378,06862.HK,2018/09/26,784.40-943.40,784.4,784.4,14.8,17.8,17.8,4.6,0.6,0.00112
379,03690.HK,2018/09/20,3294.75-3953.70,3294.75,3294.75,60.0,72.0,69.0,0.5,1.0,0.0529
380,08619.HK,2018/09/17,1.92-2.69,1.92,1.92,0.2,0.28,0.2,12.6,0.2,2.45
382,02680.HK,2018/09/14,5.20-7.20,5.2,5.2,1.3,1.8,1.8,98.1,0.7,-0.45556
383,01969.HK,2018/09/13,24.96-35.76,24.96,24.96,2.08,2.98,2.08,0.9,1.0,-0.16346
384,08601.HK,2018/09/13,2.40-3.20,2.4,2.4,0.3,0.4,0.4,12.1,0.192,-0.075
385,01615.HK,2018/09/10,3.12-4.68,3.12,3.12,0.52,0.78,0.67,180.5,0.485,-0.059699999999999996
386,08609.HK,2018/09/07,2.00-2.50,2.0,2.0,0.4,0.5,0.5,21.1,0.3,-0.21
388,08482.HK,2018/09/05,2.10-2.94,2.1,2.1,0.25,0.35,0.275,14.2,0.4,-0.09455
389,08210.HK,2018/08/27,2.00-2.40,2.0,2.0,0.25,0.3,0.255,23.0,0.5,0.0
