ticker,list_date,market_cap,lower_offer_pr,upper_offer_pr,final_offer_price,over_sub_ratio,allot_odds,firstday_return
01843.HK,2019/10/23,5.20-6.00,0.65,0.75,0.650,12.7,19.5%,-6.154%
08441.HK,2019/10/22,2.56-3.12,0.32,0.39,0.320,40.6,30.0%,+78.125%
01283.HK,2019/10/18,5.00-6.00,0.625,0.75,0.730,80.6,10.0%,+1.370%
01959.HK,2019/10/18,5.05-6.15,1.01,1.23,1.080,21.2,40.0%,-28.704%
01967.HK,2019/10/18,5.00-6.25,2.00,2.50,2.000,11.9,15.0%,+70.000%
02606.HK,2019/10/18,52.53-66.95,30.60,39.00,37.000,51.9,100.0%,+15.000%
01084.HK,2019/10/17,9.28-13.92,1.16,1.74,1.160,0.6,100.0%,+16.379%
01582.HK,2019/10/16,5.00-7.00,1.00,1.40,1.000,8.9,20.0%,+15.000%
01955.HK,2019/10/16,5.00-6.00,1.00,1.20,1.000,49.0,50.0%,+23.000%
01846.HK,2019/10/15,19.67-27.93,6.20,8.80,7.500,41.7,30.0%,+46.667%
01895.HK,2019/10/11,10.40-15.00,2.08,3.00,2.080,5.0,20.0%,+41.827%
08418.HK,2019/10/11,1.70-2.21,0.20,0.26,0.240,27.2,40.0%,+93.750%
03601.HK,2019/10/10,5.98-7.80,2.30,3.00,2.700,276.4,20.0%,+218.519%
06110.HK,2019/10/10,514.70-626.32,8.30,10.10,8.500,1.4,100.0%,+8.824%
06820.HK,2019/10/08,33.44-43.12,1.52,1.96,1.520,7.0,50.0%,0.000%
01876.HK,2019/09/30,"3,575.72-3,973.02",27.00,30.00,27.000,2.6,100.0%,+4.444%
01960.HK,2019/09/30,5.00-6.00,0.50,0.60,0.500,8.6,10.0%,+60.000%
03938.HK,2019/09/30,5.20-6.80,1.30,1.70,1.680,27.4,25.1%,-36.310%
08668.HK,2019/09/26,2.40-2.88,0.20,0.24,0.240,53.9,30.0%,+0.417%
02696.HK,2019/09/25,78.89-91.94,49.60,57.80,49.600,2.9,100.0%,-0.302%
03928.HK,2019/09/19,5.04-5.52,1.05,1.15,1.070,6.2,35.0%,+14.019%
01732.HK,2019/09/06,N/A,N/A,N/A,N/A,N/A,N/A,-4.412%
01920.HK,2019/08/16,N/A,0.20,0.20,0.200,14.1,80.0%,-16.000%
01073.HK,2019/07/26,N/A,0.52,0.52,0.520,2.9,100.0%,-5.769%
02558.HK,2019/07/18,36.88-38.63,3.80,3.98,3.820,認購不足,100.0%,0.000%
01915.HK,2019/07/17,N/A,N/A,N/A,N/A,N/A,N/A,-5.369%
00382.HK,2019/07/16,24.80-32.20,2.48,3.22,2.850,1.4,100.0%,+0.702%
01134.HK,2019/07/16,5.00-6.00,1.00,1.20,1.000,28.7,15.0%,+6.000%
01912.HK,2019/07/16,5.04-5.44,0.63,0.68,0.650,38.9,25.0%,+6.154%
01949.HK,2019/07/16,5.00-6.20,1.25,1.55,1.250,12.7,14.0%,+24.000%
02772.HK,2019/07/16,183.56-235.80,5.20,6.68,5.550,0.0,100.0%,+7.207%
06805.HK,2019/07/16,12.10-16.13,1.08,1.44,1.330,1.0,90.0%,-2.256%
01931.HK,2019/07/12,40.94-49.07,3.07,3.68,3.070,1.2,50.0%,0.000%
01977.HK,2019/07/12,N/A,1.20,1.20,1.200,6.6,100.0%,+35.833%
06093.HK,2019/07/12,5.12-6.24,1.28,1.56,1.280,4.3,20.0%,+34.375%
08612.HK,2019/07/12,2.40-3.30,0.40,0.55,0.550,27.2,35.0%,+41.818%
01839.HK,2019/07/11,35.98-45.56,6.38,8.08,6.380,1.7,100.0%,-3.762%
02180.HK,2019/07/10,19.80-25.20,9.90,12.6,9.900,3.7,85.0%,-1.010%
00924.HK,2019/07/05,5.00-6.00,0.50,0.60,0.500,12.4,6.8%,+132.000%
03798.HK,2019/07/04,16.96-23.24,1.35,1.85,1.350,1.8,60.0%,+26.667%
01286.HK,2019/06/28,52.73-62.15,2.80,3.30,3.000,1.7,100.0%,+0.333%
01701.HK,2019/06/28,5.20-6.80,0.52,0.68,0.520,5.2,60.0%,-41.346%
01842.HK,2019/06/28,N/A,0.50,0.50,0.500,7.3,35.0%,+14.000%
